"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,district - Amager Øst,1305,724,581
,,,,district - Amager Vest,1546,840,706
,,,,local committee - inner city,533,287,246
,,,,local committee - Christianshavn,274,148,126
,,,,local committee - Østerbro,1226,679,547
,,,,local committee - Nørrebro,1024,596,428
,,,,local committee - Vesterbro,588,359,229
,,,,local committee - Kgs. Enghave,746,454,292
,,,,local committee - Valby,1195,657,538
,,,,local committee - Vanløse,697,392,305
,,,,local committee - Brønshøj-Husum,888,487,401
,,,,local committee - Bispebjerg,1108,644,464
,,,,local committee - Amager Øst,1305,724,581
,,,,local committee - Amager Vest,1546,840,706
,,,,inner city - Middelalderbyen,100,50,50
,,,,inner city - Metropolzonen,32,..,..
,,,,inner city - Nansensgade-kvarteret,87,56,31
,,,,inner city - Øster Farimagsgade-kvarteret,84,44,40
,,,,inner city - Østerport,65,29,36
,,,,inner city - Frederiksstaden,139,81,58
,,,,inner city - Gammelholm og Nyhavn,26,..,..
,,,,Christianshavn - Neden Vandet,63,28,35
,,,,Christianshavn - Oven Vandet,198,..,..
,,,,Christianshavn - Holmen og Refshaleøen,13,..,..
,,,,Østerbro - Nord/Komponistkvarteret,32,14,18
,,,,Østerbro - Svanemøllen Syd/Øst,237,137,100
,,,,Østerbro - yearshusgade Nord,122,68,54
,,,,Østerbro - yearshusgade Syd,173,95,78
,,,,Østerbro - Rosenvænget,119,75,44
,,,,Østerbro - Ny Ryvang,72,35,37
,,,,Østerbro - Nord,51,26,25
,,,,Østerbro - Nordhavn,53,26,27
,,,,Østerbro - Lyngbyvej Vest,118,66,52
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,106,..,..
,,,,Østerbro - Fælled,143,79,64
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,185,88,97
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,298,187,111
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,235,143,92
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,191,115,76
,,,,Nørrebro - Haraldsgade-kvarteret,115,..,..
,,,,Vesterbro - Vest,128,81,47
,,,,Vesterbro - Central,344,205,139
,,,,Vesterbro - Øst,83,55,28
,,,,Vesterbro - Syd,33,18,15
,,,,Kgs. Enghave - Bavnehøj,136,87,49
,,,,Kgs. Enghave - Gl. Sydhavn,497,299,198
,,,,Kgs. Enghave - Holmene,113,68,45
,,,,Valby - Gl. Valby,217,127,90
,,,,Valby - Syd,356,195,161
,,,,Valby - Ålholm,212,112,100
,,,,Valby - Valby Sydvest,223,125,98
,,,,Valby - Vigerslev,187,98,89
,,,,Vanløse - Jyllingevej Kvarter,169,95,74
,,,,Vanløse - Jernbane Allé Kvarter,269,149,120
,,,,Vanløse - Sallingvej Kvarter,155,92,63
,,,,Vanløse - Grøndals Park Kvarter,104,56,48
,,,,Brønshøj-Husum - Husum,396,211,185
,,,,Brønshøj-Husum - Husum Nord,183,103,80
,,,,Brønshøj-Husum - Tingbjerg,68,..,..
,,,,Brønshøj-Husum - Brønshøj,151,89,62
,,,,Brønshøj-Husum - Bellahøj,..,55,..
,,,,Bispebjerg - Emdrup,105,..,..
,,,,Bispebjerg- Ryparken-Lundehus,148,..,..
,,,,Bispebjerg - Bispebjerg,150,83,67
,,,,Bispebjerg - Utterslev,118,..,..
,,,,Bispebjerg - Nordvest,587,355,232
,,,,Amager Øst - Amagerbro Øst,510,279,231
,,,,Amager Øst - Sundbyøster,395,221,174
,,,,Amager Øst - Villakvartererne,311,175,136
,,,,Amager Øst - Nordøstamager,89,..,..
,,,,Amager Vest - Amagerbro Vest,133,73,60
,,,,Amager Vest - Bryggen Syd,48,..,..
,,,,Amager Vest - Faste Batteri,43,..,..
,,,,Amager Vest - Gamle Bryggen,131,78,53
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),..,..,..
,,,,Amager Vest - Kolonihavekvarteret,144,79,65
,,,,Amager Vest - Sundbyvester,348,181,167
,,,,Amager Vest - Sundholmsvejs kvarteret,351,190,161
,,,,Amager Vest - Urbanplanen,191,103,88
,,,,Amager Vest - Ørestad City,..,..,..
,,,,Amager Vest - Ørestad Syd,81,49,32
,,,Upper secondary education programs and qualifying preparatory education courses,København in total,5315,3012,2303
,,,,district - inner city,838,470,368
,,,,district - Østerbro,939,518,421
,,,,district - Nørrebro,489,285,204
,,,,district - Vesterbro/Kongens Enghave,620,355,265
,,,,district - Valby,390,218,172
,,,,district - Vanløse,354,187,167
,,,,district - Brønshøj-Husum,303,183,120
,,,,district - Bispebjerg,313,184,129
,,,,district - Amager Øst,466,264,202
,,,,district - Amager Vest,584,336,248
,,,,local committee - inner city,648,360,288
,,,,local committee - Christianshavn,190,110,80
,,,,local committee - Østerbro,939,518,421
,,,,local committee - Nørrebro,489,285,204
,,,,local committee - Vesterbro,436,261,175
,,,,local committee - Kgs. Enghave,184,94,90
,,,,local committee - Valby,390,218,172
,,,,local committee - Vanløse,354,187,167
,,,,local committee - Brønshøj-Husum,303,183,120
,,,,local committee - Bispebjerg,313,184,129
,,,,local committee - Amager Øst,466,264,202
,,,,local committee - Amager Vest,584,336,248
,,,,inner city - Middelalderbyen,123,65,58
,,,,inner city - Metropolzonen,34,..,..
,,,,inner city - Nansensgade-kvarteret,88,40,48
,,,,inner city - Øster Farimagsgade-kvarteret,107,58,49
,,,,inner city - Østerport,86,42,44
,,,,inner city - Frederiksstaden,137,86,51
,,,,inner city - Gammelholm og Nyhavn,73,..,..
,,,,Christianshavn - Neden Vandet,47,31,16
,,,,Christianshavn - Oven Vandet,110,..,..
,,,,Christianshavn - Holmen og Refshaleøen,33,..,..
,,,,Østerbro - Nord/Komponistkvarteret,32,16,16
,,,,Østerbro - Svanemøllen Syd/Øst,93,49,44
,,,,Østerbro - yearshusgade Nord,105,61,44
,,,,Østerbro - yearshusgade Syd,172,92,80
,,,,Østerbro - Rosenvænget,113,64,49
,,,,Østerbro - Ny Ryvang,19,..,..
,,,,Østerbro - Nord,73,40,33
,,,,Østerbro - Nordhavn,88,48,40
,,,,Østerbro - Lyngbyvej Vest,43,26,17
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,83,..,..
,,,,Østerbro - Fælled,118,62,56
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,119,62,57
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,152,92,60
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,107,62,45
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,70,43,27
,,,,Nørrebro - Haraldsgade-kvarteret,41,..,..
,,,,Vesterbro - Vest,88,50,38
,,,,Vesterbro - Central,223,133,90
,,,,Vesterbro - Øst,89,57,32
,,,,Vesterbro - Syd,36,21,15
,,,,Kgs. Enghave - Bavnehøj,15,9,6
,,,,Kgs. Enghave - Gl. Sydhavn,89,45,44
,,,,Kgs. Enghave - Holmene,80,40,40
,,,,Valby - Gl. Valby,109,60,49
,,,,Valby - Syd,128,74,54
,,,,Valby - Ålholm,64,39,25
,,,,Valby - Valby Sydvest,48,26,22
,,,,Valby - Vigerslev,41,19,22
,,,,Vanløse - Jyllingevej Kvarter,91,50,41
,,,,Vanløse - Jernbane Allé Kvarter,128,66,62
,,,,Vanløse - Sallingvej Kvarter,94,48,46
,,,,Vanløse - Grøndals Park Kvarter,41,23,18
,,,,Brønshøj-Husum - Husum,132,83,49
,,,,Brønshøj-Husum - Husum Nord,42,23,19
,,,,Brønshøj-Husum - Tingbjerg,6,..,..
,,,,Brønshøj-Husum - Brønshøj,105,65,40
,,,,Brønshøj-Husum - Bellahøj,..,11,..
,,,,Bispebjerg - Emdrup,28,..,..
,,,,Bispebjerg- Ryparken-Lundehus,71,..,..
,,,,Bispebjerg - Bispebjerg,43,26,17
,,,,Bispebjerg - Utterslev,30,..,..
,,,,Bispebjerg - Nordvest,141,80,61
,,,,Amager Øst - Amagerbro Øst,127,70,57
,,,,Amager Øst - Sundbyøster,116,69,47
,,,,Amager Øst - Villakvartererne,141,80,61
,,,,Amager Øst - Nordøstamager,82,..,..
,,,,Amager Vest - Amagerbro Vest,58,35,23
,,,,Amager Vest - Bryggen Syd,56,..,..
,,,,Amager Vest - Faste Batteri,48,..,..
,,,,Amager Vest - Gamle Bryggen,78,43,35
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),..,..,..
,,,,Amager Vest - Kolonihavekvarteret,34,20,14
,,,,Amager Vest - Sundbyvester,115,65,50
,,,,Amager Vest - Sundholmsvejs kvarteret,57,24,33
,,,,Amager Vest - Urbanplanen,22,10,12
,,,,Amager Vest - Ørestad City,..,..,..
,,,,Amager Vest - Ørestad Syd,60,43,17
,,,Vocational education and training programs and short-cycle higher education programs,København in total,19582,10477,9105
,,,,district - inner city,1545,837,708
,,,,district - Østerbro,2582,1297,1285
,,,,district - Nørrebro,1391,772,619
,,,,district - Vesterbro/Kongens Enghave,1999,1135,864
,,,,district - Valby,2075,1082,993
,,,,district - Vanløse,1751,904,847
,,,,district - Brønshøj-Husum,1534,825,709
,,,,district - Bispebjerg,1431,804,627
,,,,district - Amager Øst,2480,1322,1158
,,,,district - Amager Vest,2732,1449,1283
,,,,local committee - inner city,1113,601,512
,,,,local committee - Christianshavn,432,236,196
,,,,local committee - Østerbro,2582,1297,1285
,,,,local committee - Nørrebro,1391,772,619
,,,,local committee - Vesterbro,1067,618,449
,,,,local committee - Kgs. Enghave,932,517,415
,,,,local committee - Valby,2075,1082,993
,,,,local committee - Vanløse,1751,904,847
,,,,local committee - Brønshøj-Husum,1534,825,709
,,,,local committee - Bispebjerg,1431,804,627
,,,,local committee - Amager Øst,2480,1322,1158
,,,,local committee - Amager Vest,2732,1449,1283
,,,,inner city - Middelalderbyen,196,119,77
,,,,inner city - Metropolzonen,76,..,..
,,,,inner city - Nansensgade-kvarteret,168,104,64
,,,,inner city - Øster Farimagsgade-kvarteret,164,82,82
,,,,inner city - Østerport,146,..,..
,,,,inner city - Frederiksstaden,267,127,140
,,,,inner city - Gammelholm og Nyhavn,96,52,44
,,,,Christianshavn - Neden Vandet,120,62,58
,,,,Christianshavn - Oven Vandet,222,122,100
,,,,Christianshavn - Holmen og Refshaleøen,90,52,38
,,,,Østerbro - Nord/Komponistkvarteret,83,49,34
,,,,Østerbro - Svanemøllen Syd/Øst,389,189,200
,,,,Østerbro - yearshusgade Nord,276,148,128
,,,,Østerbro - yearshusgade Syd,375,191,184
,,,,Østerbro - Rosenvænget,278,142,136
,,,,Østerbro - Ny Ryvang,93,55,38
,,,,Østerbro - Nord,158,65,93
,,,,Østerbro - Nordhavn,201,94,107
,,,,Østerbro - Lyngbyvej Vest,182,95,87
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,266,134,132
,,,,Østerbro - Fælled,281,135,146
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,259,147,112
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,363,209,154
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,362,198,164
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,238,143,95
,,,,Nørrebro - Haraldsgade-kvarteret,169,75,94
,,,,Vesterbro - Vest,236,127,109
,,,,Vesterbro - Central,529,324,205
,,,,Vesterbro - Øst,150,89,61
,,,,Vesterbro - Syd,152,78,74
,,,,Kgs. Enghave - Bavnehøj,85,52,33
,,,,Kgs. Enghave - Gl. Sydhavn,486,265,221
,,,,Kgs. Enghave - Holmene,361,200,161
,,,,Valby - Gl. Valby,443,226,217
,,,,Valby - Syd,581,299,282
,,,,Valby - Ålholm,378,192,186
,,,,Valby - Valby Sydvest,390,202,188
,,,,Valby - Vigerslev,283,163,120
,,,,Vanløse - Jyllingevej Kvarter,513,262,251
,,,,Vanløse - Jernbane Allé Kvarter,596,294,302
,,,,Vanløse - Sallingvej Kvarter,401,222,179
,,,,Vanløse - Grøndals Park Kvarter,241,126,115
,,,,Brønshøj-Husum - Husum,730,413,317
,,,,Brønshøj-Husum - Husum Nord,214,110,104
,,,,Brønshøj-Husum - Tingbjerg,56,..,..
,,,,Brønshøj-Husum - Brønshøj,406,207,199
,,,,Brønshøj-Husum - Bellahøj,128,69,59
,,,,Bispebjerg - Emdrup,148,78,70
,,,,Bispebjerg- Ryparken-Lundehus,220,118,102
,,,,Bispebjerg - Bispebjerg,249,147,102
,,,,Bispebjerg - Utterslev,157,84,73
,,,,Bispebjerg - Nordvest,657,377,280
,,,,Amager Øst - Amagerbro Øst,836,449,387
,,,,Amager Øst - Sundbyøster,664,339,325
,,,,Amager Øst - Villakvartererne,687,381,306
,,,,Amager Øst - Nordøstamager,293,153,140
,,,,Amager Vest - Amagerbro Vest,291,152,139
,,,,Amager Vest - Bryggen Syd,201,96,105
,,,,Amager Vest - Faste Batteri,127,71,56
,,,,Amager Vest - Gamle Bryggen,291,162,129
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),62,35,27
,,,,Amager Vest - Kolonihavekvarteret,195,107,88
,,,,Amager Vest - Sundbyvester,607,324,283
,,,,Amager Vest - Sundholmsvejs kvarteret,388,198,190
,,,,Amager Vest - Urbanplanen,198,114,84
,,,,Amager Vest - Ørestad City,159,88,71
,,,,Amager Vest - Ørestad Syd,213,102,111
,,,Medium-cycle higher education programs and bachelor’s degree programs,København in total,14794,5342,9452
,,,,district - inner city,1848,683,1165
,,,,district - Østerbro,2641,885,1756
,,,,district - Nørrebro,1426,504,922
,,,,district - Vesterbro/Kongens Enghave,1749,712,1037
,,,,district - Valby,1189,431,758
,,,,district - Vanløse,1328,436,892
,,,,district - Brønshøj-Husum,1023,366,657
,,,,district - Bispebjerg,794,274,520
,,,,district - Amager Øst,1210,449,761
,,,,district - Amager Vest,1564,590,974
,,,,local committee - inner city,1338,492,846
,,,,local committee - Christianshavn,510,191,319
,,,,local committee - Østerbro,2641,885,1756
,,,,local committee - Nørrebro,1426,504,922
,,,,local committee - Vesterbro,1187,499,688
,,,,local committee - Kgs. Enghave,562,213,349
,,,,local committee - Valby,1189,431,758
,,,,local committee - Vanløse,1328,436,892
,,,,local committee - Brønshøj-Husum,1023,366,657
,,,,local committee - Bispebjerg,794,274,520
,,,,local committee - Amager Øst,1210,449,761
,,,,local committee - Amager Vest,1564,590,974
,,,,inner city - Middelalderbyen,191,72,119
,,,,inner city - Metropolzonen,66,29,37
,,,,inner city - Nansensgade-kvarteret,218,79,139
,,,,inner city - Øster Farimagsgade-kvarteret,225,74,151
,,,,inner city - Østerport,180,..,..
,,,,inner city - Frederiksstaden,337,112,225
,,,,inner city - Gammelholm og Nyhavn,121,47,74
,,,,Christianshavn - Neden Vandet,139,63,76
,,,,Christianshavn - Oven Vandet,257,82,175
,,,,Christianshavn - Holmen og Refshaleøen,114,46,68
,,,,Østerbro - Nord/Komponistkvarteret,121,48,73
,,,,Østerbro - Svanemøllen Syd/Øst,293,90,203
,,,,Østerbro - yearshusgade Nord,251,88,163
,,,,Østerbro - yearshusgade Syd,459,165,294
,,,,Østerbro - Rosenvænget,392,128,264
,,,,Østerbro - Ny Ryvang,46,..,..
,,,,Østerbro - Nord,186,73,113
,,,,Østerbro - Nordhavn,178,71,107
,,,,Østerbro - Lyngbyvej Vest,126,39,87
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,203,64,139
,,,,Østerbro - Fælled,386,105,281
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,351,124,227
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,447,154,293
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,311,113,198
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,204,82,122
,,,,Nørrebro - Haraldsgade-kvarteret,113,31,82
,,,,Vesterbro - Vest,264,112,152
,,,,Vesterbro - Central,594,234,360
,,,,Vesterbro - Øst,202,92,110
,,,,Vesterbro - Syd,127,61,66
,,,,Kgs. Enghave - Bavnehøj,34,13,21
,,,,Kgs. Enghave - Gl. Sydhavn,253,74,179
,,,,Kgs. Enghave - Holmene,275,126,149
,,,,Valby - Gl. Valby,296,108,188
,,,,Valby - Syd,344,127,217
,,,,Valby - Ålholm,242,93,149
,,,,Valby - Valby Sydvest,186,67,119
,,,,Valby - Vigerslev,121,36,85
,,,,Vanløse - Jyllingevej Kvarter,449,165,284
,,,,Vanløse - Jernbane Allé Kvarter,442,128,314
,,,,Vanløse - Sallingvej Kvarter,280,94,186
,,,,Vanløse - Grøndals Park Kvarter,157,49,108
,,,,Brønshøj-Husum - Husum,449,164,285
,,,,Brønshøj-Husum - Husum Nord,125,..,..
,,,,Brønshøj-Husum - Tingbjerg,17,..,..
,,,,Brønshøj-Husum - Brønshøj,378,134,244
,,,,Brønshøj-Husum - Bellahøj,54,19,35
,,,,Bispebjerg - Emdrup,101,39,62
,,,,Bispebjerg- Ryparken-Lundehus,146,44,102
,,,,Bispebjerg - Bispebjerg,159,61,98
,,,,Bispebjerg - Utterslev,75,18,57
,,,,Bispebjerg - Nordvest,313,112,201
,,,,Amager Øst - Amagerbro Øst,367,135,232
,,,,Amager Øst - Sundbyøster,279,87,192
,,,,Amager Øst - Villakvartererne,383,145,238
,,,,Amager Øst - Nordøstamager,181,82,99
,,,,Amager Vest - Amagerbro Vest,178,64,114
,,,,Amager Vest - Bryggen Syd,159,72,87
,,,,Amager Vest - Faste Batteri,100,37,63
,,,,Amager Vest - Gamle Bryggen,231,87,144
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),51,18,33
,,,,Amager Vest - Kolonihavekvarteret,86,28,58
,,,,Amager Vest - Sundbyvester,318,119,199
,,,,Amager Vest - Sundholmsvejs kvarteret,166,49,117
,,,,Amager Vest - Urbanplanen,58,19,39
,,,,Amager Vest - Ørestad City,88,43,45
,,,,Amager Vest - Ørestad Syd,129,54,75
,,,Long-cycle higher education programs and PhD and research degree programs,København in total,13887,7168,6719
,,,,district - inner city,2548,1290,1258
,,,,district - Østerbro,2894,1502,1392
,,,,district - Nørrebro,1224,609,615
,,,,district - Vesterbro/Kongens Enghave,1555,824,731
,,,,district - Valby,926,449,477
,,,,district - Vanløse,981,526,455
,,,,district - Brønshøj-Husum,845,429,416
,,,,district - Bispebjerg,623,316,307
,,,,district - Amager Øst,918,468,450
,,,,district - Amager Vest,1319,719,600
,,,,local committee - inner city,1930,1014,916
,,,,local committee - Christianshavn,618,276,342
,,,,local committee - Østerbro,2894,1502,1392
,,,,local committee - Nørrebro,1224,609,615
,,,,local committee - Vesterbro,1151,608,543
,,,,local committee - Kgs. Enghave,404,216,188
,,,,local committee - Valby,926,449,477
,,,,local committee - Vanløse,981,526,455
,,,,local committee - Brønshøj-Husum,845,429,416
,,,,local committee - Bispebjerg,623,316,307
,,,,local committee - Amager Øst,918,468,450
,,,,local committee - Amager Vest,1319,719,600
,,,,inner city - Middelalderbyen,275,150,125
,,,,inner city - Metropolzonen,131,69,62
,,,,inner city - Nansensgade-kvarteret,284,139,145
,,,,inner city - Øster Farimagsgade-kvarteret,434,230,204
,,,,inner city - Østerport,231,122,109
,,,,inner city - Frederiksstaden,430,223,207
,,,,inner city - Gammelholm og Nyhavn,145,81,64
,,,,Christianshavn - Neden Vandet,172,89,83
,,,,Christianshavn - Oven Vandet,270,109,161
,,,,Christianshavn - Holmen og Refshaleøen,176,78,98
,,,,Østerbro - Nord/Komponistkvarteret,156,80,76
,,,,Østerbro - Svanemøllen Syd/Øst,245,137,108
,,,,Østerbro - yearshusgade Nord,279,147,132
,,,,Østerbro - yearshusgade Syd,517,255,262
,,,,Østerbro - Rosenvænget,504,255,249
,,,,Østerbro - Ny Ryvang,28,14,14
,,,,Østerbro - Nord,256,139,117
,,,,Østerbro - Nordhavn,278,160,118
,,,,Østerbro - Lyngbyvej Vest,88,44,44
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,179,95,84
,,,,Østerbro - Fælled,364,176,188
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,324,165,159
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,447,217,230
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,223,110,113
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,157,83,74
,,,,Nørrebro - Haraldsgade-kvarteret,73,34,39
,,,,Vesterbro - Vest,319,159,160
,,,,Vesterbro - Central,494,262,232
,,,,Vesterbro - Øst,193,102,91
,,,,Vesterbro - Syd,145,85,60
,,,,Kgs. Enghave - Bavnehøj,22,10,12
,,,,Kgs. Enghave - Gl. Sydhavn,125,55,70
,,,,Kgs. Enghave - Holmene,257,151,106
,,,,Valby - Gl. Valby,245,114,131
,,,,Valby - Syd,292,131,161
,,,,Valby - Ålholm,209,107,102
,,,,Valby - Valby Sydvest,116,63,53
,,,,Valby - Vigerslev,64,34,30
,,,,Vanløse - Jyllingevej Kvarter,377,195,182
,,,,Vanløse - Jernbane Allé Kvarter,264,144,120
,,,,Vanløse - Sallingvej Kvarter,206,113,93
,,,,Vanløse - Grøndals Park Kvarter,134,74,60
,,,,Brønshøj-Husum - Husum,366,190,176
,,,,Brønshøj-Husum - Husum Nord,62,..,..
,,,,Brønshøj-Husum - Tingbjerg,10,..,..
,,,,Brønshøj-Husum - Brønshøj,376,186,190
,,,,Brønshøj-Husum - Bellahøj,31,18,13
,,,,Bispebjerg - Emdrup,145,74,71
,,,,Bispebjerg- Ryparken-Lundehus,93,49,44
,,,,Bispebjerg - Bispebjerg,124,64,60
,,,,Bispebjerg - Utterslev,69,34,35
,,,,Bispebjerg - Nordvest,192,95,97
,,,,Amager Øst - Amagerbro Øst,282,140,142
,,,,Amager Øst - Sundbyøster,185,94,91
,,,,Amager Øst - Villakvartererne,264,136,128
,,,,Amager Øst - Nordøstamager,187,98,89
,,,,Amager Vest - Amagerbro Vest,153,79,74
,,,,Amager Vest - Bryggen Syd,203,120,83
,,,,Amager Vest - Faste Batteri,128,66,62
,,,,Amager Vest - Gamle Bryggen,195,100,95
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),55,31,24
,,,,Amager Vest - Kolonihavekvarteret,68,39,29
,,,,Amager Vest - Sundbyvester,244,121,123
,,,,Amager Vest - Sundholmsvejs kvarteret,88,52,36
,,,,Amager Vest - Urbanplanen,22,11,11
,,,,Amager Vest - Ørestad City,69,49,20
,,,,Amager Vest - Ørestad Syd,94,51,43
,,western ethnicity,"Primary and lower secondary school, and unspecified etc.",København in total,983,624,359
,,,,district - inner city,128,72,56
,,,,district - Østerbro,141,92,49
,,,,district - Nørrebro,91,59,32
,,,,district - Vesterbro/Kongens Enghave,116,80,36
,,,,district - Valby,78,52,26
,,,,district - Vanløse,55,33,22
,,,,district - Brønshøj-Husum,62,34,28
,,,,district - Bispebjerg,68,44,24
,,,,district - Amager Øst,99,66,33
,,,,district - Amager Vest,128,79,49
,,,,local committee - inner city,99,52,47
,,,,local committee - Christianshavn,29,20,9
,,,,local committee - Østerbro,141,92,49
,,,,local committee - Nørrebro,91,59,32
,,,,local committee - Vesterbro,67,46,21
,,,,local committee - Kgs. Enghave,49,34,15
,,,,local committee - Valby,78,52,26
,,,,local committee - Vanløse,55,33,22
,,,,local committee - Brønshøj-Husum,62,34,28
,,,,local committee - Bispebjerg,68,44,24
,,,,local committee - Amager Øst,99,66,33
,,,,local committee - Amager Vest,128,79,49
,,,,inner city - Middelalderbyen,21,..,..
,,,,inner city - Metropolzonen,..,..,..
,,,,inner city - Nansensgade-kvarteret,13,..,..
,,,,inner city - Øster Farimagsgade-kvarteret,5,..,..
,,,,inner city - Østerport,9,6,3
,,,,inner city - Frederiksstaden,21,..,..
,,,,inner city - Gammelholm og Nyhavn,26,12,14
,,,,Christianshavn - Neden Vandet,12,7,5
