"Population’s highest completed education (ages 15–69), by time, age, ethnicity, highest completed education, district, and gender",,,,,,,
Unit: number,,,,,,,
,,,,,genders in total,Men,Women
,,,,inner city - Øster Farimagsgade-kvarteret,2092,987,1105
,,,,inner city - Østerport,1134,545,589
,,,,inner city - Frederiksstaden,2422,1199,1223
,,,,inner city - Gammelholm og Nyhavn,819,403,416
,,,,Christianshavn - Neden Vandet,771,377,394
,,,,Christianshavn - Oven Vandet,1422,635,787
,,,,Christianshavn - Holmen og Refshaleøen,889,412,477
,,,,Østerbro - Nord/Komponistkvarteret,1021,465,556
,,,,Østerbro - Svanemøllen Syd/Øst,2235,1124,1111
,,,,Østerbro - yearshusgade Nord,2541,1195,1346
,,,,Østerbro - yearshusgade Syd,3114,1477,1637
,,,,Østerbro - Rosenvænget,2727,1270,1457
,,,,Østerbro - Ny Ryvang,384,182,202
,,,,Østerbro - Nord,1109,514,595
,,,,Østerbro - Nordhavn,2209,1163,1046
,,,,Østerbro - Lyngbyvej Vest,1135,545,590
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,1794,875,919
,,,,Østerbro - Fælled,1948,914,1034
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,3371,1540,1831
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,4471,1966,2505
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,4541,2040,2501
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,4166,1943,2223
,,,,Nørrebro - Haraldsgade-kvarteret,1844,832,1012
,,,,Vesterbro - Vest,3617,1656,1961
,,,,Vesterbro - Central,5826,2633,3193
,,,,Vesterbro - Øst,2091,1001,1090
,,,,Vesterbro - Syd,1716,899,817
,,,,Kgs. Enghave - Bavnehøj,580,256,324
,,,,Kgs. Enghave - Gl. Sydhavn,2017,881,1136
,,,,Kgs. Enghave - Holmene,5080,2583,2497
,,,,Valby - Gl. Valby,2589,1200,1389
,,,,Valby - Syd,4290,1960,2330
,,,,Valby - Ålholm,1722,776,946
,,,,Valby - Valby Sydvest,2581,1272,1309
,,,,Valby - Vigerslev,937,444,493
,,,,Vanløse - Jyllingevej Kvarter,2321,1097,1224
,,,,Vanløse - Jernbane Allé Kvarter,2404,1163,1241
,,,,Vanløse - Sallingvej Kvarter,2063,964,1099
,,,,Vanløse - Grøndals Park Kvarter,1014,457,557
,,,,Brønshøj-Husum - Husum,2580,1219,1361
,,,,Brønshøj-Husum - Husum Nord,828,446,382
,,,,Brønshøj-Husum - Tingbjerg,397,229,168
,,,,Brønshøj-Husum - Brønshøj,2393,1125,1268
,,,,Brønshøj-Husum - Bellahøj,363,178,185
,,,,Bispebjerg - Emdrup,794,372,422
,,,,Bispebjerg- Ryparken-Lundehus,994,478,516
,,,,Bispebjerg - Bispebjerg,901,417,484
,,,,Bispebjerg - Utterslev,951,443,508
,,,,Bispebjerg - Nordvest,6716,3202,3514
,,,,Amager Øst - Amagerbro Øst,4333,2025,2308
,,,,Amager Øst - Sundbyøster,2553,1189,1364
,,,,Amager Øst - Villakvartererne,2870,1312,1558
,,,,Amager Øst - Nordøstamager,2683,1272,1411
,,,,Amager Vest - Amagerbro Vest,1558,702,856
,,,,Amager Vest - Bryggen Syd,1702,854,848
,,,,Amager Vest - Faste Batteri,1466,752,714
,,,,Amager Vest - Gamle Bryggen,1900,857,1043
,,,,Amager Vest - Grønjordssøen (Ørestad Nord og Vejlandskvarter),752,379,373
,,,,Amager Vest - Kolonihavekvarteret,845,405,440
,,,,Amager Vest - Sundbyvester,2168,1013,1155
,,,,Amager Vest - Sundholmsvejs kvarteret,1635,787,848
,,,,Amager Vest - Urbanplanen,308,127,181
,,,,Amager Vest - Ørestad City,2737,1408,1329
,,,,Amager Vest - Ørestad Syd,3091,1560,1531
,,Danish ethnicity,"Primary and lower secondary school, and unspecified etc.",København in total,53314,30295,23019
,,,,district - inner city,4356,2406,1950
,,,,district - Østerbro,6350,3621,2729
,,,,district - Nørrebro,5301,2938,2363
,,,,district - Vesterbro/Kongens Enghave,6481,3706,2775
,,,,district - Valby,5610,3251,2359
,,,,district - Vanløse,3691,2082,1609
,,,,district - Brønshøj-Husum,3776,2102,1674
,,,,district - Bispebjerg,4344,2561,1783
,,,,district - Amager Øst,5598,3160,2438
,,,,district - Amager Vest,7211,3983,3228
,,,,local committee - inner city,3183,1764,1419
,,,,local committee - Christianshavn,1173,642,531
,,,,local committee - Østerbro,6350,3621,2729
,,,,local committee - Nørrebro,5301,2938,2363
,,,,local committee - Vesterbro,3589,2018,1571
,,,,local committee - Kgs. Enghave,2892,1688,1204
,,,,local committee - Valby,5610,3251,2359
,,,,local committee - Vanløse,3691,2082,1609
,,,,local committee - Brønshøj-Husum,3776,2102,1674
,,,,local committee - Bispebjerg,4344,2561,1783
,,,,local committee - Amager Øst,5598,3160,2438
,,,,local committee - Amager Vest,7211,3983,3228
,,,,inner city - Middelalderbyen,587,334,253
,,,,inner city - Metropolzonen,155,76,79
,,,,inner city - Nansensgade-kvarteret,584,325,259
,,,,inner city - Øster Farimagsgade-kvarteret,594,314,280
,,,,inner city - Østerport,344,173,171
,,,,inner city - Frederiksstaden,702,427,275
,,,,inner city - Gammelholm og Nyhavn,217,115,102
,,,,Christianshavn - Neden Vandet,251,131,120
,,,,Christianshavn - Oven Vandet,716,405,311
,,,,Christianshavn - Holmen og Refshaleøen,206,106,100
,,,,Østerbro - Nord/Komponistkvarteret,308,170,138
,,,,Østerbro - Svanemøllen Syd/Øst,940,550,390
,,,,Østerbro - yearshusgade Nord,625,360,265
,,,,Østerbro - yearshusgade Syd,976,554,422
,,,,Østerbro - Rosenvænget,810,467,343
,,,,Østerbro - Ny Ryvang,351,194,157
,,,,Østerbro - Nord,374,206,168
,,,,Østerbro - Nordhavn,352,195,157
,,,,Østerbro - Lyngbyvej Vest,391,228,163
,,,,Østerbro - Lyngbyvej Øst/Klimakvarteret,525,292,233
,,,,Østerbro - Fælled,698,405,293
,,,,Nørrebro - Blågyearsdskvarteret/Assistens/Rantzausgade,1035,540,495
,,,,Nørrebro - Guldbergskvarteret/Panum/Ravnsborggade,1425,801,624
,,,,Nørrebro - Stefansgade/Nørrebroparken/Lundtoftegade,1258,715,543
,,,,Nørrebro - Mimersgade-kvarteret/ Nørrebro St.,924,532,392
