"Population projection 2026 by gender, district, age, and time",,,
Unit: quantity,,,
,,6 years,266
,,7 years,269
,,8 years,273
,,9 years,306
,,10 years,250
,,11 years,256
,,12 years,297
,,13 years,286
,,14 years,322
,,15 years,310
,,16 years,385
,,17 years,354
,,18 years,401
,,19 years,448
,,20 years,566
,,21 years,893
,,22 years,1058
,,23 years,1244
,,24 years,1210
,,25 years,1351
,,26 years,1298
,,27 years,1259
,,28 years,1256
,,29 years,1188
,,30 years,1108
,,31 years,1053
,,32 years,867
,,33 years,789
,,34 years,677
,,35 years,656
,,36 years,589
,,37 years,564
,,38 years,477
,,39 years,480
,,40 years,492
,,41 years,393
,,42 years,389
,,43 years,384
,,44 years,379
,,45 years,465
,,46 years,460
,,47 years,502
,,48 years,451
,,49 years,483
,,50 years,559
,,51 years,605
,,52 years,598
,,53 years,595
,,54 years,616
,,55 years,561
,,56 years,564
,,57 years,520
,,58 years,585
,,59 years,612
,,60 years,552
,,61 years,493
,,62 years,470
,,63 years,395
,,64 years,375
,,65 years,342
,,66 years,319
,,67 years,327
,,68 years,313
,,69 years,319
,,70 years,274
,,71 years,279
,,72 years,278
,,73 years,281
,,74 years,277
,,75 years,299
,,76 years,303
,,77 years,285
,,78 years,275
,,79 years,313
,,80 years,297
,,81 years,251
,,82 years,239
,,83 years,240
,,84 years,149
,,85 years,149
,,86 years,113
,,87 years,86
,,88 years,71
,,89 years,66
,,90 years,38
,,91 years,33
,,92 years,27
,,93 years,20
,,94 years,16
,,95 years,9
,,96 years,10
,,97 years,4
,,98 years,3
,,99+ years,9
,Local committee - Christianshavn,0 years,141
,,1 years,155
,,2 years,112
,,3 years,101
,,4 years,104
,,5 years,122
,,6 years,95
,,7 years,109
,,8 years,99
,,9 years,108
,,10 years,103
,,11 years,103
,,12 years,91
,,13 years,102
,,14 years,92
,,15 years,112
,,16 years,114
,,17 years,119
,,18 years,112
,,19 years,106
,,20 years,133
,,21 years,180
,,22 years,216
,,23 years,261
,,24 years,270
,,25 years,290
,,26 years,306
,,27 years,292
,,28 years,263
,,29 years,267
,,30 years,281
,,31 years,252
,,32 years,241
,,33 years,219
,,34 years,198
,,35 years,199
,,36 years,182
,,37 years,208
,,38 years,147
,,39 years,162
,,40 years,145
,,41 years,145
,,42 years,147
,,43 years,169
,,44 years,135
,,45 years,170
,,46 years,136
,,47 years,150
,,48 years,137
,,49 years,141
,,50 years,194
,,51 years,179
,,52 years,146
,,53 years,180
,,54 years,189
,,55 years,156
,,56 years,166
,,57 years,174
,,58 years,179
,,59 years,206
,,60 years,175
,,61 years,178
,,62 years,167
,,63 years,166
,,64 years,129
,,65 years,134
,,66 years,133
,,67 years,145
,,68 years,137
,,69 years,150
,,70 years,156
,,71 years,124
,,72 years,155
,,73 years,137
,,74 years,103
,,75 years,154
,,76 years,133
,,77 years,140
,,78 years,127
,,79 years,133
,,80 years,101
,,81 years,104
,,82 years,81
,,83 years,74
,,84 years,59
,,85 years,35
,,86 years,36
,,87 years,32
,,88 years,16
,,89 years,21
,,90 years,7
,,91 years,6
,,92 years,3
,,93 years,7
,,94 years,3
,,95 years,0
,,96 years,2
,,97 years,1
,,98 years,1
,,99+ years,2
,Local committee - Østerbro,0 years,1117
,,1 years,891
,,2 years,825
,,3 years,701
,,4 years,777
,,5 years,668
,,6 years,668
,,7 years,607
,,8 years,644
,,9 years,652
,,10 years,606
,,11 years,632
,,12 years,607
,,13 years,652
,,14 years,641
,,15 years,701
,,16 years,731
,,17 years,714
,,18 years,771
,,19 years,809
,,20 years,897
,,21 years,1266
,,22 years,1621
,,23 years,1731
,,24 years,1883
,,25 years,2130
,,26 years,2047
,,27 years,2307
,,28 years,2334
,,29 years,2051
,,30 years,2207
,,31 years,1981
,,32 years,1745
,,33 years,1687
,,34 years,1483
,,35 years,1355
,,36 years,1238
,,37 years,1140
,,38 years,1031
,,39 years,1046
,,40 years,897
,,41 years,910
,,42 years,906
,,43 years,812
,,44 years,843
,,45 years,886
,,46 years,863
,,47 years,921
,,48 years,891
,,49 years,890
,,50 years,958
,,51 years,1028
,,52 years,1057
,,53 years,1087
,,54 years,1075
,,55 years,926
,,56 years,922
,,57 years,963
,,58 years,1077
,,59 years,982
,,60 years,1042
,,61 years,940
,,62 years,879
,,63 years,802
,,64 years,797
,,65 years,713
,,66 years,656
,,67 years,613
,,68 years,586
,,69 years,593
,,70 years,598
,,71 years,538
,,72 years,530
,,73 years,514
,,74 years,488
,,75 years,518
,,76 years,465
,,77 years,519
,,78 years,487
,,79 years,503
,,80 years,431
,,81 years,399
,,82 years,367
,,83 years,279
,,84 years,240
,,85 years,244
,,86 years,180
,,87 years,165
,,88 years,118
,,89 years,103
,,90 years,90
,,91 years,58
,,92 years,54
,,93 years,38
,,94 years,33
,,95 years,27
,,96 years,17
,,97 years,14
,,98 years,12
,,99+ years,15
,Local committee - Nørrebro,0 years,1286
,,1 years,1002
,,2 years,861
,,3 years,759
,,4 years,796
,,5 years,691
,,6 years,649
,,7 years,591
,,8 years,661
,,9 years,597
,,10 years,528
,,11 years,538
,,12 years,512
,,13 years,533
,,14 years,550
,,15 years,609
,,16 years,569
,,17 years,599
,,18 years,603
,,19 years,636
,,20 years,732
,,21 years,1145
,,22 years,1713
,,23 years,2191
,,24 years,2513
,,25 years,2780
,,26 years,2847
,,27 years,2822
,,28 years,2801
,,29 years,2656
,,30 years,2529
,,31 years,2413
,,32 years,2107
,,33 years,2012
,,34 years,1893
,,35 years,1669
,,36 years,1597
,,37 years,1379
,,38 years,1317
,,39 years,1181
,,40 years,1160
,,41 years,1023
,,42 years,941
,,43 years,908
,,44 years,923
,,45 years,826
,,46 years,825
,,47 years,775
,,48 years,791
,,49 years,787
,,50 years,829
,,51 years,789
,,52 years,750
,,53 years,789
,,54 years,724
,,55 years,697
,,56 years,686
,,57 years,682
,,58 years,688
,,59 years,756
,,60 years,669
,,61 years,660
,,62 years,592
,,63 years,527
,,64 years,513
,,65 years,495
,,66 years,467
,,67 years,436
,,68 years,416
,,69 years,425
,,70 years,389
,,71 years,359
,,72 years,354
,,73 years,334
,,74 years,279
,,75 years,299
,,76 years,252
,,77 years,257
,,78 years,249
,,79 years,239
,,80 years,212
,,81 years,228
,,82 years,171
,,83 years,159
,,84 years,111
,,85 years,100
,,86 years,99
,,87 years,71
,,88 years,59
,,89 years,56
,,90 years,46
,,91 years,31
,,92 years,29
,,93 years,26
,,94 years,16
,,95 years,19
,,96 years,9
,,97 years,11
,,98 years,2
,,99+ years,13
,Local committee - Vesterbro,0 years,869
,,1 years,743
,,2 years,623
,,3 years,575
,,4 years,574
,,5 years,462
,,6 years,473
,,7 years,436
,,8 years,430
,,9 years,391
,,10 years,381
,,11 years,381
,,12 years,368
,,13 years,385
,,14 years,381
,,15 years,406
,,16 years,406
,,17 years,446
,,18 years,429
,,19 years,435
,,20 years,463
,,21 years,619
,,22 years,919
,,23 years,967
,,24 years,1122
,,25 years,1242
,,26 years,1197
,,27 years,1305
,,28 years,1311
,,29 years,1358
,,30 years,1412
,,31 years,1320
,,32 years,1251
,,33 years,1180
,,34 years,1154
,,35 years,1086
,,36 years,1055
,,37 years,908
,,38 years,838
,,39 years,814
,,40 years,768
,,41 years,662
,,42 years,662
,,43 years,701
,,44 years,693
,,45 years,733
,,46 years,689
,,47 years,664
,,48 years,657
,,49 years,708
,,50 years,750
,,51 years,750
,,52 years,708
,,53 years,723
,,54 years,680
,,55 years,647
,,56 years,559
,,57 years,571
,,58 years,507
,,59 years,521
,,60 years,493
,,61 years,452
,,62 years,442
,,63 years,297
,,64 years,313
,,65 years,296
,,66 years,264
,,67 years,266
,,68 years,202
,,69 years,220
,,70 years,176
,,71 years,170
,,72 years,173
,,73 years,163
,,74 years,177
,,75 years,146
,,76 years,131
,,77 years,141
,,78 years,131
,,79 years,154
,,80 years,124
,,81 years,84
,,82 years,89
,,83 years,66
,,84 years,47
,,85 years,49
,,86 years,48
,,87 years,26
,,88 years,14
,,89 years,17
,,90 years,9
,,91 years,2
,,92 years,8
,,93 years,7
,,94 years,4
,,95 years,3
,,96 years,0
,,97 years,0
,,98 years,1
,,99+ years,1
,Local committee - Kgs. Enghave,0 years,531
,,1 years,424
,,2 years,354
,,3 years,321
,,4 years,333
,,5 years,270
,,6 years,291
,,7 years,241
,,8 years,229
,,9 years,246
,,10 years,257
,,11 years,249
,,12 years,238
,,13 years,241
,,14 years,202
,,15 years,216
,,16 years,221
,,17 years,215
,,18 years,231
,,19 years,247
,,20 years,280
,,21 years,496
,,22 years,718
,,23 years,931
,,24 years,975
,,25 years,1034
,,26 years,1008
,,27 years,1124
,,28 years,1100
,,29 years,1108
,,30 years,1077
,,31 years,1070
,,32 years,987
,,33 years,997
,,34 years,894
,,35 years,826
,,36 years,766
,,37 years,729
,,38 years,633
,,39 years,555
,,40 years,560
,,41 years,530
,,42 years,442
,,43 years,421
,,44 years,385
,,45 years,396
,,46 years,430
,,47 years,403
,,48 years,371
,,49 years,365
,,50 years,380
,,51 years,404
,,52 years,394
,,53 years,368
,,54 years,333
,,55 years,325
,,56 years,320
,,57 years,305
,,58 years,323
,,59 years,321
