Befolkningen efter tid, arbejdsmarkedstilknytning, herkomst, distrikt og køn;;;;;;
Enhed: Antal;;;;;;
;;;;All genders;Male;Female
;;;Lokaludvalg - Kgs. Enghave;12977;6857;6120
;;;Lokaludvalg - Valby;27949;14196;13753
;;;Lokaludvalg - Vanløse;19070;9518;9552
;;;Lokaludvalg - Brønshøj-Husum;14148;7115;7033
;;;Lokaludvalg - Bispebjerg;21044;10366;10678
;;;Lokaludvalg - Amager Øst;29176;14591;14585
;;;Lokaludvalg - Amager Vest;34806;17751;17055
;;;Indre By - Middelalderbyen;4075;2098;1977
;;;Indre By - Metropolzonen;1181;621;560
;;;Indre By - Nansensgade-kvarteret;3378;1656;1722
;;;Indre By - Øster Farimagsgade-kvarteret;3602;1750;1852
;;;Indre By - Østerport;2052;1027;1025
;;;Indre By - Frederiksstaden;4809;2492;2317
;;;Indre By - Gammelholm og Nyhavn;1466;758;708
;;;Christianshavn - Neden Vandet;1253;643;610
;;;Christianshavn - Oven Vandet;3069;1465;1604
;;;Christianshavn - Holmen og Refshaleøen;1540;790;750
;;;Østerbro - Nord/Komponistkvarteret;1865;913;952
;;;Østerbro - Svanemøllen Syd/Øst;4860;2411;2449
;;;Østerbro - Århusgade Nord;5128;2522;2606
;;;Østerbro - Århusgade Syd;6435;3057;3378
